date,daily_total_pnl,daily_avg_pnl,daily_median_pnl,daily_win_rate,daily_trade_count,daily_avg_leverage,sentiment_score,long_short_ratio,sentiment_label
2024-06-13,6632.757115,331.63785575,293.6439335,0.95,20,1.0,4.0,5.666666666666667,Greed
2024-06-14,10258.592609,683.9061739333333,125.93931,1.0,15,1.0,4.0,,Greed
2024-06-15,3369.958346,88.68311436842104,68.41421,1.0,38,1.0,4.0,0.0,Greed
2024-06-17,10599.502375,407.67316826923076,346.53787650000004,0.9615384615384616,26,1.0,4.0,5.5,Greed
2024-06-18,282.57636,70.64409,61.804643999999996,1.0,4,1.0,4.0,0.0,Greed
2024-06-19,4887.656944,157.6663530322581,54.054126,1.0,31,1.0,4.0,0.0,Greed
2024-06-20,57478.456026,7184.80700325,5237.9855575,1.0,8,1.0,4.0,0.0,Greed
2024-06-21,773.5582039999999,257.85273466666666,186.44,1.0,3,1.0,4.0,,Greed
2024-06-22,756.876565,94.609570625,62.88288300000001,1.0,8,1.0,3.0,0.0,Neutral
2024-06-25,4869.353105,442.6684640909091,376.6594,1.0,11,1.0,2.0,,Fear
2024-06-26,4197.732182,199.89200866666664,132.40224,1.0,21,1.0,3.0,0.0,Neutral
2024-06-29,6150.326145,256.263589375,181.8474765,1.0,24,1.0,2.0,23.0,Fear
2024-07-01,5065.839308,194.83997338461538,43.9203485,1.0,26,1.0,3.0,0.0,Neutral
2024-07-02,2421.253116,186.25023969230767,18.13787,1.0,13,1.0,3.0,1.6,Neutral
2024-07-03,1118.387284,279.596821,294.140185,1.0,4,1.0,3.0,,Neutral
2024-07-06,108.87217799999999,15.553168285714284,13.218986,1.0,7,1.0,2.0,0.0,Fear
2024-07-07,61.428942,6.1428942,4.9143155,1.0,10,1.0,2.0,0.0,Fear
2024-07-09,648.984412,43.265627466666665,37.164306,1.0,15,1.0,2.0,0.0,Fear
2024-07-10,11977.734907,315.20355018421054,191.16024099999998,1.0,38,1.0,2.0,0.0,Fear
2024-07-11,1876.812082,208.53467577777778,196.188219,1.0,9,1.0,2.0,0.0,Fear
2024-07-12,1412.314654,156.92385044444444,157.630656,1.0,9,1.0,2.0,,Fear
2024-07-13,2913.617837,171.38928452941175,105.890838,1.0,17,1.0,2.0,0.0,Fear
2024-07-15,-1.0,-0.5,-0.5,0.0,2,1.0,3.0,,Neutral
2024-07-17,1859.269477,11.995286948387097,6.266881,0.9354838709677419,155,1.0,4.0,,Greed
2024-07-18,3803.884311,79.2475898125,74.2411455,1.0,48,1.0,4.0,,Greed
2024-07-19,2155.891114,179.65759283333333,86.273404,1.0,12,1.0,4.0,0.0,Greed
2024-07-20,2299.169566,63.865821277777776,5.2045215,0.9166666666666666,36,1.0,4.0,,Greed
2024-07-21,-2960.716887,-12.545410538135593,-9.41215,0.08898305084745763,236,1.0,4.0,,Greed
2024-07-22,1517.119876,14.312451660377357,-8.485113,0.20754716981132076,106,1.0,4.0,12.25,Greed
2024-07-23,89890.302206,246.95137968681317,42.307892,0.9038461538461539,364,1.0,4.0,0.5895196506550219,Greed
2024-07-24,625.561479,34.753415499999996,31.955285,1.0,18,1.0,4.0,,Greed
2024-07-25,916.7382600000001,91.673826,63.402149,1.0,10,1.0,4.0,,Greed
2024-07-26,2766.513113,45.35267398360656,16.828758,1.0,61,1.0,4.0,1.103448275862069,Greed
2024-07-27,6400.623656,152.39580133333334,94.386524,1.0,42,1.0,4.0,0.0,Greed
2024-07-28,587.29903,48.941585833333335,40.61945,1.0,12,1.0,4.0,,Greed
2024-07-29,330.80445399999996,20.675278374999998,14.9048315,1.0,16,1.0,4.0,0.23076923076923078,Greed
2024-07-31,765.690884,54.692206,30.208306,1.0,14,1.0,4.0,,Greed
2024-08-01,167.080017,23.868573857142856,0.5508,0.5714285714285714,7,1.0,3.0,0.16666666666666666,Neutral
2024-08-02,782.3681909999999,46.02165829411764,9.276084,1.0,17,1.0,4.0,0.0,Greed
2024-08-03,464.1897,464.1897,464.1897,1.0,1,1.0,2.0,,Fear
2024-08-04,-122672.000883,-1887.2615520461538,-139.571036,0.046153846153846156,65,1.0,2.0,0.0,Fear
2024-08-05,-13013.665169,-342.464872868421,1.560243,0.868421052631579,38,1.0,2.0,0.02702702702702703,Fear
2024-08-06,267.318048,10.281463384615384,0.5659705,0.5,26,1.0,1.0,0.0,Extreme Fear
2024-08-07,188.789255,18.8789255,19.1838775,1.0,10,1.0,2.0,0.0,Fear
2024-08-08,-40.712216999999995,-13.570738999999998,-6.007082,0.0,3,1.0,1.0,0.0,Extreme Fear
2024-08-09,18082.071276,311.7598495862069,4.0260735,0.7413793103448276,58,1.0,3.0,0.7575757575757576,Neutral
2024-08-11,847.7766200000001,211.94415500000002,239.538045,1.0,4,1.0,2.0,0.0,Fear
2024-08-12,858.6705000000001,143.11175,110.3195,1.0,6,1.0,2.0,,Fear
2024-08-13,212.08102,26.5101275,15.030929,1.0,8,1.0,2.0,,Fear
2024-08-14,2168.9015130000003,433.7803026,169.581973,1.0,5,1.0,2.0,0.0,Fear
2024-08-16,825.230544,275.076848,282.51,1.0,3,1.0,2.0,0.0,Fear
2024-08-17,-288.283113,-288.283113,-288.283113,0.0,1,1.0,2.0,0.0,Fear
2024-08-18,307.201888,25.600157333333332,14.8598,1.0,12,1.0,2.0,0.0,Fear
2024-08-19,339.69958299999996,67.93991659999999,45.870421,1.0,5,1.0,2.0,0.0,Fear
